,x1,y1,z1
6170915,2477,808,8.685889720352065e-09
6170765,2477,658,1.1291656694440843e-08
6170615,2477,508,2.3017608174885796e-08
6170465,2477,358,2.0802710665314422e-07
6170315,2477,208,1.2616437953927124e-05
6170165,2477,58,0.010020274905035037
6170015,2476,2404,2.2992265590991057
6169865,2476,2254,1.1907645179815154
6169715,2476,2104,0.4569807865481933
6169565,2476,1954,0.1363525879795783
6169415,2476,1804,0.02700502988420537
6169265,2476,1654,0.004199080421834251
6169115,2476,1504,0.0002765229669959049
6168965,2476,1354,2.5549427299632295e-05
6168815,2476,1204,2.5501846850932155e-06
6168665,2476,1054,1.9456397146901257e-07
6168515,2476,904,2.0411841130441307e-08
6168365,2476,754,7.817300764607745e-09
6168215,2476,604,8.685889720352065e-09
6168065,2476,454,3.6046443486978164e-08
6167915,2476,304,8.182115746645491e-07
6167765,2476,154,0.00016053187738745032
6167615,2475,2500,3.068851941592652
6167465,2475,2350,1.986322701434954
6167315,2475,2200,0.8682229849592588
6167165,2475,2050,0.32977973950305856
6167015,2475,1900,0.08139655932953449
6166865,2475,1750,0.012024875678788809
6166715,2475,1600,0.0016830337372578125
6166565,2475,1450,0.00014233554355326088
6166415,2475,1300,6.752463098429757e-06
6166265,2475,1150,7.591474178480704e-07
6166115,2475,1000,7.079000634262546e-08
6165965,2475,850,2.084613562069086e-08
6165815,2475,700,6.948711762384229e-09
6165665,2475,550,1.4766012652068788e-08
6165515,2475,400,5.12467518852763e-08
6165365,2475,250,3.117376979403527e-06
6165215,2475,100,0.0021287200427691525
6165065,2474,2446,2.8914380203980343
6164915,2474,2296,1.4287174982754758
6164765,2474,2146,0.6397005218797668
6164615,2474,1996,0.27062144176545544
6164465,2474,1846,0.05104294450288704
6164315,2474,1696,0.0056978556101418415
6164165,2474,1546,0.0007737404008066685
6164015,2474,1396,4.7743313699885445e-05
6163865,2474,1246,3.694993170539885e-06
6163715,2474,1096,5.637146033779697e-07
6163565,2474,946,4.256086131370695e-08
6163415,2474,796,9.988773205442129e-09
6163265,2474,646,1.2594540139131832e-08
6163115,2474,496,9.120184198875667e-09
6162965,2474,346,2.0194698101577153e-07
6162815,2474,196,3.857270872560394e-05
6162665,2474,46,0.03249124356048177
6162515,2473,2392,2.291288194516622
6162365,2473,2242,1.1816626759663507
6162215,2473,2092,0.44963366842973834
6162065,2473,1942,0.14688281505860123
6161915,2473,1792,0.021640453640391362
6161765,2473,1642,0.003041593804437189
6161615,2473,1492,0.0002370000899636274
6161465,2473,1342,2.0528716750112198e-05
6161315,2473,1192,1.1734652754399326e-06
6161165,2473,1042,2.301761364047914e-07
6161015,2473,892,2.345190266774112e-08
6160865,2473,742,9.120184198875667e-09
6160715,2473,592,9.554478726049939e-09
6160565,2473,442,3.648073799286232e-08
6160415,2473,292,7.739134563111748e-07
6160265,2473,142,0.00048446677223410936
6160115,2472,2488,3.1572360393445504
6159965,2472,2338,1.9030404455032408
6159815,2472,2188,0.9076915763773885
6159665,2472,2038,0.29787174807358197
6159515,2472,1888,0.06898832853496456
6159365,2472,1738,0.013458290492647048
6159215,2472,1588,0.0015013627983243012
6159065,2472,1438,8.538547676346535e-05
6158915,2472,1288,5.232411438074413e-06
6158765,2472,1138,9.015962802960173e-07
6158615,2472,988,8.33845485346677e-08
6158465,2472,838,1.1725951175570211e-08
6158315,2472,688,7.3830062391706525e-09
6158165,2472,538,1.5634601621710533e-08
6158015,2472,388,1.4809444358554122e-07
6157865,2472,238,9.390851111733955e-06
6157715,2472,88,0.0063411049505528875
6157565,2471,2434,2.7937501483024434
6157415,2471,2284,1.483357552993846
6157265,2471,2134,0.6314352722637256
6157115,2471,1984,0.20148114322290064
6156965,2471,1834,0.0364651600777295
6156815,2471,1684,0.005220229177789635
6156665,2471,1534,0.0005104303893780001
6156515,2471,1384,3.9062202355931924e-05
6156365,2471,1234,2.7942596857083998e-06
6156215,2471,1084,2.2757036811739538e-07
6156065,2471,934,4.9509573757065e-08
6155915,2471,784,1.1291656694440843e-08
6155765,2471,634,5.64582828641435e-09
6155615,2471,484,2.518908069172172e-08
6155465,2471,334,5.906408970027347e-07
6155315,2471,184,3.535909033166969e-05
6155165,2471,34,0.09982371167103417
6155015,2470,2380,2.202720407145148
6154865,2470,2230,1.1163769945119395
6154715,2470,2080,0.41111942909735033
6154565,2470,1930,0.12793242273906016
6154415,2470,1780,0.020339401532042643
6154265,2470,1630,0.0021665163892381064
6154115,2470,1480,0.00020216987243498237
6153965,2470,1330,1.6378422335018142e-05
6153815,2470,1180,8.542580860631575e-07
6153665,2470,1030,1.5330597917403998e-07
6153515,2470,880,2.7360553219415007e-08
6153365,2470,730,9.988773205442129e-09
6153215,2470,580,9.988773205442129e-09
6153065,2470,430,3.691503254739715e-08
6152915,2470,280,2.310018492744599e-06
6152765,2470,130,0.00045184173032043756
6152615,2469,2476,3.150972672446079
6152465,2469,2326,1.8211160476996626
6152315,2469,2176,0.7591169200775686
6152165,2469,2026,0.26787306257938226
6152015,2469,1876,0.07515331451137713
6151865,2469,1726,0.010376227059815724
6151715,2469,1576,0.0007850305858241301
6151565,2469,1426,0.00010020068950154918
6151415,2469,1276,4.020282626878626e-06
6151265,2469,1126,6.418877186319088e-07
6151115,2469,976,5.298393002043631e-08
6150965,2469,826,1.3463129152647006e-08
6150815,2469,676,8.251595242262759e-09
6150665,2469,526,1.650319064130583e-08
6150515,2469,376,1.4679155968613409e-07
6150365,2469,226,8.753727797628295e-06
6150215,2469,76,0.006183683937684367
6150065,2468,2422,2.697138110546669
6149915,2468,2272,1.4102841655979603
6149765,2468,2122,0.5844609078001141
6149615,2468,1972,0.19619165759503243
6149465,2468,1822,0.04013204419436382
6149315,2468,1672,0.0059047083462405794
6149165,2468,1522,0.00044315297251379133
6149015,2468,1372,4.601333205201067e-05
6148865,2468,1222,2.0933044476486016e-06
6148715,2468,1072,1.541745684207617e-07
6148565,2468,922,3.040061480535581e-08
6148415,2468,772,1.2594540139131832e-08
6148265,2468,622,1.5200307136672514e-08
6148115,2468,472,2.5623375186748515e-08
6147965,2468,322,5.732690944575329e-07
6147815,2468,172,0.00010790344452685013
6147665,2468,22,0.11831636279399796
6147515,2467,2368,2.115405975658838
6147365,2467,2218,1.052768737896783
6147215,2467,2068,0.4347121920381261
6147065,2467,1918,0.11068631393322281
6146915,2467,1768,0.019082217212409193
6146765,2467,1618,0.001943877391737775
6146615,2467,1468,0.0002358507555434937
6146465,2467,1318,1.9355199175617382e-05
6146315,2467,1168,1.6533622397923937e-06
6146165,2467,1018,1.8066654205173399e-07
6146015,2467,868,1.6068896107182847e-08
6145865,2467,718,1.1291656694440843e-08
6145715,2467,568,1.0857362165529394e-08
6145565,2467,418,1.0423068815781747e-07
6145415,2467,268,2.1805980680296298e-06
6145265,2467,118,0.0013641515462672307
6145115,2466,2464,3.1443772801731735
6144965,2466,2314,1.7405885487727792
6144815,2466,2164,0.7503782932297725
6144665,2466,2014,0.26181961433075146
6144515,2466,1864,0.055431424507921274
6144365,2466,1714,0.00960737418078373
6144215,2466,1564,0.0011823535068203343
6144065,2466,1414,0.00011738394595458803
6143915,2466,1264,4.770316787849459e-06
6143765,2466,1114,4.5166649604934524e-07
6143615,2466,964,6.166982080046706e-08
6143465,2466,814,1.5634601621710533e-08
6143315,2466,664,9.120184198875667e-09
6143165,2466,514,1.737177961442193e-08
6143015,2466,364,1.4331720267230157e-07
6142865,2466,214,2.6236087813203575e-05
6142715,2466,64,0.018623961901242984
6142565,2465,2410,2.6016380621159465
6142415,2465,2260,1.3387710236495696
6142265,2465,2110,0.5393928230456859
6142115,2465,1960,0.17308570899680714
6141965,2465,1810,0.03808908165367686
6141815,2465,1660,0.00434754056590419
6141665,2465,1510,0.0005137705758641676
6141515,2465,1360,2.5646280677595682e-05
6141365,2465,1210,2.4833029473115394e-06
6141215,2465,1060,1.8196942605276612e-07
6141065,2465,910,3.5177854476512737e-08
6140915,2465,760,1.4331718119682983e-08
6140765,2465,610,1.650319064130583e-08
6140615,2465,460,2.60576696822096e-08
6140465,2465,310,5.46777096926002e-07
6140315,2465,160,9.855911505484647e-05
6140165,2465,10,0.465169001150973
6140015,2464,2356,2.1065408519175928
6139865,2464,2206,1.0433326913493535
6139715,2464,2056,0.39658179304298624
6139565,2464,1906,0.09508884451900772
6139415,2464,1756,0.017869514296306697
6139265,2464,1606,0.0022227438861561646
6139115,2464,1456,0.00014494608237542635
6138965,2464,1306,1.0194314019772009e-05
6138815,2464,1156,7.29181047277197e-07
6138665,2464,1006,1.1856240976533007e-07
6138515,2464,856,1.8240368637491582e-08
6138365,2464,706,5.64582828641435e-09
6138215,2464,556,1.1291656694440843e-08
6138065,2464,406,1.0466498273188588e-07
6137915,2464,256,2.011222402697225e-06
6137765,2464,106,0.0012749382540026832
6137615,2463,2452,3.137448250558973
6137465,2463,2302,1.6614972306002997
6137315,2463,2152,0.6986042891470576
6137165,2463,2002,0.2339934253022117
6137015,2463,1852,0.06057973736962063
6136865,2463,1702,0.008875347456318117
6136715,2463,1552,0.0010435469046743942
6136565,2463,1402,6.897795565548643e-05
6136415,2463,1252,8.700308502888023e-06
6136265,2463,1102,5.341825412473501e-07
6136115,2463,952,7.209288996581151e-08
6135965,2463,802,1.780607410163142e-08
6135815,2463,652,9.988773205442129e-09
6135665,2463,502,1.780607410163142e-08
6135515,2463,352,1.3767137259615906e-07
6135365,2463,202,2.4396309145324315e-05
6135215,2463,52,0.018663330301910835
6135065,2462,2398,2.4227600030957426
6134915,2462,2248,1.268857473949196
6134765,2462,2098,0.4962535137605062
6134615,2462,1948,0.15180603125791572
6134465,2462,1798,0.030973526123843843
6134315,2462,1648,0.003149972229668145
6134165,2462,1498,0.00032969686446185413
6134015,2462,1348,2.0569976678117466e-05
6133865,2462,1198,1.8409782107513328e-06
6133715,2462,1048,2.1454152705958373e-07
6133565,2462,898,2.084613562069086e-08
6133415,2462,748,1.6068896107182847e-08
6133265,2462,598,1.780607410163142e-08
6133115,2462,448,2.649196422632136e-08
6132965,2462,298,5.111649060289233e-07
6132815,2462,148,0.00030075141581404236
6132665,2461,2494,3.030675895646385
6132515,2461,2344,1.9446898765650342
6132365,2461,2194,1.0337153632869567
6132215,2461,2044,0.3604222338153496
6132065,2461,1894,0.09154167014156547
6131915,2461,1744,0.01670180126244496
6131765,2461,1594,0.001989461476615797
6131615,2461,1444,0.00012177934761613604
6131465,2461,1294,1.8093519310253763e-05
6131315,2461,1144,8.638125835829044e-07
6131165,2461,994,4.1257977730900615e-08
6131015,2461,844,2.084613562069086e-08
6130865,2461,694,6.080122810114264e-09
6130715,2461,544,1.1725951175570211e-08
6130565,2461,394,1.0423068815781747e-07
6130415,2461,244,6.089719920374589e-06
6130265,2461,94,0.0038674896726564488
6130115,2460,2440,3.2267007644397148
6129965,2460,2290,1.5838817919645514
6129815,2460,2140,0.6091889988003999
6129665,2460,1990,0.22819913895675928
6129515,2460,1840,0.05045465155746779
6129365,2460,1690,0.006676578145068893
6129215,2460,1540,0.0006965529834464114
6129065,2460,1390,3.9425305352065345e-05
6128915,2460,1240,6.6842778099783535e-06
6128765,2460,1090,3.7045335104767167e-07
6128615,2460,940,4.473233392825914e-08
6128465,2460,790,1.997754664062605e-08
6128315,2460,640,1.0857362165529394e-08
6128165,2460,490,1.8240368637491582e-08
6128015,2460,340,4.0389405598517115e-07
6127865,2460,190,7.280645211384156e-05
6127715,2460,40,0.05843133967029771
6127565,2459,2386,2.331156730669982
6127415,2459,2236,1.1437517813239528
6127265,2459,2086,0.45506254375404315
6127115,2459,1936,0.147137167677054
6126965,2459,1786,0.03415354701500149
6126815,2459,1636,0.0028440730187956854
6126665,2459,1486,0.000282439258152933
6126515,2459,1336,3.5581032937903826e-05
6126365,2459,1186,2.17972947473005e-06
6126215,2459,1036,1.4244861344729457e-07
6126065,2459,886,4.73381011186266e-08
6125915,2459,736,8.251595242262759e-09
6125765,2459,586,7.817300764607745e-09
6125615,2459,436,7.426436277624025e-08
6125465,2459,286,1.5317593389092183e-06
6125315,2459,136,0.0002738142938207056
6125165,2458,2482,3.023695883447997
6125015,2458,2332,1.8613656275330004
