x,y005,y001,y0001
352,0.0835,0.0179,0.00165
353,0.0871,0.019,0.00178
354,0.0695,0.0202,0.00123
355,0.0726,0.0213,0.00208
356,0.0759,0.016,0.00224
357,0.0793,0.017,0.00242
358,0.0827,0.018,0.00261
359,0.0863,0.0191,0.00182
360,0.0689,0.0143,0.00126
361,0.072,0.0213,0.00212
362,0.0753,0.016,0.00229
363,0.0786,0.017,0.0016
364,0.082,0.018,0.0011
365,0.0654,0.0191,0.00186
366,0.0892,0.0202,0.00201
367,0.0715,0.0152,0.00217
368,0.0746,0.0161,0.00151
369,0.0779,0.0238,0.0038
370,0.0813,0.0181,0.00176
371,0.0848,0.0191,0.0019
372,0.0883,0.0202,0.00312
373,0.0709,0.0214,0.00335
374,0.074,0.0161,0.00359
375,0.0772,0.0171,0.00256
376,0.0806,0.0128,0.0018
377,0.084,0.0191,0.00125
378,0.0673,0.0144,0.00136
379,0.0703,0.0152,0.00225
380,0.0734,0.0162,0.00242
381,0.0766,0.0171,0.0026
382,0.0799,0.0128,0.00183
383,0.0832,0.0191,0.00198
384,0.0867,0.0144,0.00213
385,0.0903,0.0153,0.00149
386,0.0728,0.0225,0.00246
387,0.0759,0.0171,0.00264
388,0.0791,0.0181,0.00187
389,0.0825,0.0191,0.00201
390,0.0859,0.0202,0.00216
391,0.0692,0.0153,0.00232
392,0.0722,0.0162,0.0025
393,0.0752,0.0171,0.004
394,0.0784,0.0181,0.0019
395,0.0817,0.0191,0.00205
396,0.0657,0.0145,0.00144
397,0.0686,0.0213,0.00236
398,0.0715,0.0162,0.00378
399,0.0746,0.0171,0.00272
400,0.0777,0.0181,0.00194
401,0.0809,0.0191,0.00137
402,0.0843,0.0145,0.00147
403,0.068,0.0153,0.0024
404,0.0709,0.0162,0.00257
405,0.0739,0.0236,0.00183
406,0.077,0.0181,0.00197
407,0.0802,0.0191,0.00139
408,0.0835,0.0201,0.00227
409,0.0868,0.0212,0.00161
410,0.0703,0.0162,0.00173
411,0.0733,0.0236,0.00186
412,0.0763,0.0181,0.002
413,0.0795,0.0191,0.0032
414,0.0827,0.0201,0.00342
415,0.086,0.0153,0.00366
416,0.0894,0.0162,0.00176
417,0.0929,0.0171,0.00189
418,0.0756,0.0181,0.00203
419,0.0787,0.019,0.00144
420,0.0819,0.0201,0.00155
421,0.0663,0.0153,0.00167
422,0.0885,0.0162,0.00267
423,0.072,0.0171,0.00127
424,0.0749,0.018,0.00306
425,0.078,0.019,0.00221
426,0.0811,0.02,0.00236
427,0.0843,0.0211,0.00253
428,0.0685,0.0162,0.00182
429,0.0713,0.0171,0.00129
430,0.0742,0.018,0.00209
431,0.0772,0.019,0.0033
432,0.0803,0.0145,0.00239
433,0.0835,0.0153,0.00172
434,0.0868,0.0162,0.00274
435,0.0901,0.0171,0.00197
436,0.0736,0.018,0.00141
437,0.0765,0.0189,0.00226
438,0.0796,0.0145,0.00242
439,0.0827,0.021,0.00174
440,0.0859,0.0221,0.00187
441,0.0892,0.017,0.00296
442,0.0729,0.0179,0.00214
443,0.0758,0.0189,0.00229
444,0.0788,0.0199,0.00245
445,0.0819,0.0209,0.00177
446,0.0851,0.0161,0.00126
447,0.0694,0.017,0.00203
448,0.0917,0.0179,0.00217
449,0.0751,0.0189,0.00232
450,0.078,0.0198,0.00248
451,0.0811,0.0209,0.00179
452,0.0842,0.0161,0.00282
453,0.0688,0.017,0.00205
454,0.0715,0.0179,0.00321
455,0.0744,0.0188,0.00234
456,0.0773,0.0198,0.0025
457,0.0803,0.0153,0.00181
458,0.0834,0.0161,0.00285
459,0.0866,0.0169,0.00207
460,0.0898,0.0178,0.00468
461,0.0737,0.0188,0.0016
462,0.0765,0.0145,0.00171
463,0.0795,0.0207,0.00123
464,0.0825,0.0161,0.00196
465,0.0857,0.0169,0.000943
466,0.0889,0.0178,0.00326
467,0.073,0.0187,0.00162
468,0.0758,0.0144,0.00173
469,0.0787,0.0207,0.00272
470,0.0817,0.0217,0.0029
471,0.0848,0.0169,0.00143
472,0.088,0.0177,0.00153
473,0.0723,0.0186,0.00164
474,0.0751,0.0196,0.00175
475,0.0779,0.0152,0.00188
476,0.0809,0.016,0.002
477,0.084,0.0168,0.00145
478,0.0689,0.0177,0.00104
479,0.0903,0.0186,0.00352
480,0.0743,0.0195,0.00259
481,0.0772,0.0205,0.00189
482,0.0801,0.0215,0.00294
483,0.0831,0.0168,0.00216
484,0.0682,0.0176,0.0023
485,0.0893,0.0185,0.00245
486,0.0736,0.0144,0.00179
487,0.0764,0.0151,0.00191
488,0.0793,0.0214,0.00204
489,0.0823,0.0225,0.00315
490,0.0853,0.0176,0.00107
491,0.0884,0.0184,0.00247
492,0.0729,0.0194,0.00263
493,0.0949,0.0203,0.00193
494,0.0785,0.0213,0.00427
495,0.0814,0.0167,0.0015
496,0.0844,0.0175,0.00109
497,0.0875,0.0184,0.00171
498,0.0722,0.0193,0.00183
499,0.0939,0.0202,0.00133
500,0.0777,0.0158,0.00142
501,0.0806,0.0166,0.00319
502,0.0836,0.0174,0.00162
503,0.0866,0.0183,0.00251
504,0.0897,0.0192,0.00184
505,0.0742,0.0202,0.00284
506,0.0769,0.0157,0.00302
507,0.0798,0.0222,0.00223
508,0.0827,0.0174,0.00164
509,0.0857,0.0182,0.00174
510,0.0708,0.0191,0.00269
511,0.0919,0.0149,0.00198
512,0.0762,0.0157,0.00211
513,0.079,0.022,0.00225
514,0.0818,0.0231,0.00343
515,0.0848,0.0182,0.00254
516,0.0701,0.019,0.00188
517,0.0727,0.0149,0.002
518,0.0754,0.0209,0.00213
519,0.0782,0.0219,0.00226
520,0.081,0.0172,0.00344
521,0.0839,0.0181,0.00177
522,0.0694,0.019,0.00272
523,0.072,0.0148,0.00139
524,0.0931,0.0208,0.00214
525,0.0774,0.0164,0.00158
526,0.0802,0.0172,0.00168
527,0.083,0.018,0.00179
528,0.086,0.0189,0.0019
529,0.089,0.0198,0.0014
530,0.0739,0.0207,0.00216
