,x1,y1,z1
2065,837,1189,0.224271583
2066,837,1221,0.288167971
2067,837,1253,0.413999947
2068,837,1285,0.432355444
2069,837,1317,0.507651504
2070,837,1349,0.581543201
2071,837,1381,0.651632352
2072,837,1413,0.715987393
2073,837,1445,0.773265838
2074,837,1477,0.8227466
2075,837,1509,0.864284124
2076,837,1541,0.898206995
2077,837,1573,0.925187492
2078,837,1605,0.946106536
2079,837,1637,0.961932535
2080,837,1669,0.963985748
2081,837,1701,0.982069027
2082,837,1733,0.988033362
2083,837,1765,0.988679764
2084,837,1797,0.994950459
2085,837,1829,0.995217504
2086,837,1861,0.99801211
2087,837,1893,0.998113321
2088,837,1925,0.99926764
2089,837,1957,0.999566001
2090,837,1989,0.999586214
2091,837,2021,0.999758109
2092,837,2053,0.999917586
2093,837,2085,0.999954003
2094,837,2117,0.999955779
2095,837,2149,0.999975608
2096,837,2181,0.999992647
2097,837,2213,0.999992877
2098,837,2245,0.999996227
2099,837,2277,0.999998027
2100,837,2309,0.99999947
2101,837,2341,0.99999948
2102,837,2373,0.999999492
2103,837,2405,0.99999987
2104,837,2437,0.999999936
2105,837,2469,0.999999937
2106,869,5,0.194727609
2107,869,37,0.468942264
2108,869,69,0.335439258
2109,869,101,0.625008349
2110,869,133,0.497131946
2111,869,165,0.553154717
2112,869,197,0.599496621
2113,869,229,0.507298802
2114,869,261,0.55111728
2115,869,293,0.473193615
2116,869,325,0.514030368
2117,869,357,0.445772788
2118,869,389,0.385217862
2119,869,421,0.332006758
2120,869,453,0.285562895
2121,869,485,0.245223075
2122,869,517,0.210311637
2123,869,549,0.180180764
2124,869,581,0.11223077
2125,869,613,0.095435382
2126,869,645,0.056908687
2127,869,677,0.048187492
2128,869,709,0.027748111
2129,869,741,0.015547697
2130,869,773,0.008502286
2131,869,805,0.004549325
2132,869,837,0.00238692
2133,869,869,0.00123029
2134,869,901,0.001698563
2135,869,933,0.003624644
2136,869,965,0.007209652
2137,869,997,0.01943846
2138,869,1029,0.033032919
2139,869,1061,0.039075808
2140,869,1093,0.061495323
2141,869,1125,0.070569923
2142,869,1157,0.165509728
2143,869,1189,0.18164385
2144,869,1221,0.198298548
2145,869,1253,0.306694169
2146,869,1285,0.378937778
2147,869,1317,0.454455864
2148,869,1349,0.530479794
2149,869,1381,0.54981314
2150,869,1413,0.622116828
2151,869,1445,0.736483346
2152,869,1477,0.791816083
2153,869,1509,0.803246549
2154,869,1541,0.848315932
2155,869,1573,0.88550427
2156,869,1605,0.934522453
2157,869,1637,0.953460822
2158,869,1669,0.956505932
2159,869,1701,0.969744799
2160,869,1733,0.971763616
2161,869,1765,0.986189282
2162,869,1797,0.990930228
2163,869,1829,0.996022908
2164,869,1861,0.996297049
2165,869,1893,0.997696135
2166,869,1925,0.99785471
2167,869,1957,0.999152831
2168,869,1989,0.999498932
2169,869,2021,0.999708384
2170,869,2053,0.999832942
2171,869,2085,0.999905766
2172,869,2117,0.999947642
2173,869,2149,0.999971337
2174,869,2181,0.999984534
2175,869,2213,0.999991773
2176,869,2245,0.999995684
2177,869,2277,0.999997766
2178,869,2309,0.999998859
2179,869,2341,0.999998918
2180,869,2373,0.999999454
2181,869,2405,0.999999728
2182,869,2437,0.999999932
2183,869,2469,0.999999935
2184,901,5,0.201269518
2185,901,37,0.488109661
2186,901,69,0.360135462
2187,901,101,0.458275782
2188,901,133,0.532673012
2189,901,165,0.591768775
2190,901,197,0.640201207
2191,901,229,0.680776815
2192,901,261,0.599713047
2193,901,293,0.639948884
2194,901,325,0.569243699
2195,901,357,0.504279424
2196,901,389,0.445396102
2197,901,421,0.392515367
2198,901,453,0.345331148
2199,901,485,0.30342418
2200,901,517,0.266329974
2201,901,549,0.233578468
2202,901,581,0.15385705
2203,901,613,0.134043774
2204,901,645,0.116777402
2205,901,677,0.073544629
2206,901,709,0.044966653
2207,901,741,0.026780937
2208,901,773,0.015580937
2209,901,805,0.008876652
2210,901,837,0.00496242
2211,901,869,0.001698563
2212,901,901,0.001475442
2213,901,933,0.002050255
2214,901,965,0.004313977
2215,901,997,0.008470264
2216,901,1029,0.015595368
2217,901,1061,0.019293784
2218,901,1093,0.044373317
2219,901,1125,0.069127593
2220,901,1157,0.079696785
2221,901,1189,0.145740141
2222,901,1221,0.198561393
2223,901,1253,0.217474693
2224,901,1285,0.329644329
2225,901,1317,0.351881737
2226,901,1349,0.426749758
2227,901,1381,0.557384581
2228,901,1413,0.578423616
2229,901,1445,0.649892199
2230,901,1477,0.759410786
2231,901,1509,0.773891414
2232,901,1541,0.824189285
2233,901,1573,0.866259311
2234,901,1605,0.90044762
2235,901,1637,0.927469975
2236,901,1669,0.932786382
2237,901,1701,0.963857387
2238,901,1733,0.975262366
2239,901,1765,0.983405168
2240,901,1797,0.989084746
2241,901,1829,0.99295771
2242,901,1861,0.99554152
2243,901,1893,0.995917337
2244,901,1925,0.998308774
2245,901,1957,0.998452986
2246,901,1989,0.999402361
2247,901,2021,0.99965372
2248,901,2053,0.999683246
2249,901,2085,0.999889354
2250,901,2117,0.999898692
2251,901,2149,0.999944052
2252,901,2181,0.999969575
2253,901,2213,0.999990641
2254,901,2245,0.999991398
2255,901,2277,0.999995525
2256,901,2309,0.999997705
2257,901,2341,0.999998839
2258,901,2373,0.999999692
2259,901,2405,0.999999715
2260,901,2437,0.999999861
2261,901,2469,0.999999934
2262,933,5,0.207768841
2263,933,37,0.236397844
2264,933,69,0.384842905
2265,933,101,0.488933026
2266,933,133,0.567167758
2267,933,165,0.628679778
2268,933,197,0.678521181
2269,933,229,0.59844541
2270,933,261,0.64577793
2271,933,293,0.577420234
2272,933,325,0.515239628
2273,933,357,0.561385776
2274,933,389,0.505465332
2275,933,421,0.454287974
2276,933,453,0.497205849
2277,933,485,0.365588571
2278,933,517,0.327537738
2279,933,549,0.293268019
2280,933,581,0.262456424
2281,933,613,0.180990699
2282,933,645,0.120692797
2283,933,677,0.107107423
2284,933,709,0.069214238
2285,933,741,0.04361574
2286,933,773,0.026873742
2287,933,805,0.016227505
2288,933,837,0.009622202
2289,933,869,0.003624644
2290,933,901,0.002050255
2291,933,933,0.001827426
2292,933,965,0.00162806
2293,933,997,0.005277628
2294,933,1029,0.00696589
2295,933,1061,0.013045198
2296,933,1093,0.03169161
2297,933,1125,0.038336627
2298,933,1157,0.078992396
2299,933,1189,0.091336559
2300,933,1221,0.131470625
2301,933,1253,0.181420277
2302,933,1285,0.240747601
2303,933,1317,0.308146156
2304,933,1349,0.381533024
2305,933,1381,0.458267635
2306,933,1413,0.535454532
2307,933,1445,0.610270743
2308,933,1477,0.68025806
2309,933,1509,0.699629771
2310,933,1541,0.798901147
2311,933,1573,0.81293305
2312,933,1605,0.88446333
2313,933,1637,0.915316652
2314,933,1669,0.92220652
2315,933,1701,0.957402414
2316,933,1733,0.970745988
2317,933,1765,0.973385669
2318,933,1797,0.982148968
2319,933,1829,0.991632577
2320,933,1861,0.992440693
2321,933,1893,0.99522365
2322,933,1925,0.997039191
2323,933,1957,0.998198657
2324,933,1989,0.998923971
2325,933,2021,0.999033502
2326,933,2053,0.999636027
2327,933,2085,0.999793742
2328,933,2117,0.999885068
2329,933,2149,0.999896978
2330,933,2181,0.999943535
2331,933,2213,0.999981963
2332,933,2245,0.999990572
2333,933,2277,0.999991542
2334,933,2309,0.999995643
2335,933,2341,0.999998769
2336,933,2373,0.999999394
2337,933,2405,0.999999705
2338,933,2437,0.999999859
2339,933,2469,0.999999933
2340,965,5,0.214225788
2341,965,37,0.251969486
2342,965,69,0.409466816
2343,965,101,0.518987805
2344,965,133,0.600431185
2345,965,165,0.663689271
2346,965,197,0.714269319
2347,965,229,0.640974921
2348,965,261,0.688880208
2349,965,293,0.626375014
2350,965,325,0.671406128
2351,965,357,0.616049739
2352,965,389,0.564116158
2353,965,421,0.515813035
2354,965,453,0.471151773
2355,965,485,0.430028126
2356,965,517,0.392272614
2357,965,549,0.357682025
2358,965,581,0.326039038
2359,965,613,0.23573881
